Drink,fl oz,Caffeine (mg),mg/floz
28 Black Energy Drink,8.46,80,9.5
3 Water,16.9,50,3.0
3D Energy Drink,16,200,12.5
4 Purpose Energy Drink,8.46,70,8.3
4C Energy Drink Mix,16.9,170,10.1
5 Hour Energy,1.93,200,103.6
5 Hour Energy Extra Strength,1.93,230,119.2
7 Eleven Brewed Coffee,16,280,17.5
7-Eleven Energy Shot,2,260,130.0
7-Up,12,0,0.0
A Shoc,16,250,15.6
A&W Cream Soda,12,0,0.0
A&W Root Beer,12,0,0.0
A&W Zero Sugar Cream Soda,12,0,0.0
ABB Turbo Tea Zero,18,120,6.7
Accelerator,12,150,12.5
Advocare Slam Energy Shot,2,120,60.0
Advocare Slim,8,120,15.0
Afri Cola,11.16,83,7.4
AHA Sparkling Water,12,30,2.5
Alani Nu Energy Drink,12,200,16.7
Ale 8 1,12,37,3.1
ALL IN Energy Drink,12,75,6.2
Alpine Start Instant Coffee,8,120,15.0
Alsa Energy Drink Mix,16,100,6.2
Americano Coffee,12,154,12.8
AMIN.O. Energy Drink,12,100,8.3
Amino Force Energy Drink,22,200,9.1
Arbonne Energy Fizz Stck,8,55,6.9
Arby's Jamocha Shake,16,12,0.7
Arizona Arnold Palmer Half and Half,16.9,15,0.9
Arizona Energy Drink Rx,11.5,127,11.0
Arizona Iced Tea,16,30,1.9
Arti Sparkling Water,12,120,10.0
AXIO Energy Drink Mix,12,100,8.3
Bai Antioxidant Infusion,18,55,3.1
Bai Boost,11.47,110,9.6
Balance Active Shot,2,100,50.0
Balance Energy Shot,2,150,75.0
Bang Energy,16,300,18.8
Bang Keto Coffee,16,300,18.8
Bang Natural,16,250,15.6
Bang Shot,3,300,100.0
Bang Sweet Tea,16,300,18.8
Barista Bros Iced Coffee,16.91,140,8.3
Barqs Red Creme Soda,12,0,0.0
Barqs Root Beer,12,22,1.8
Baskin Robbins Cappuccino Blast,24,234,9.8
Bawls,16,102,6.4
BE Beyond Energy Drink,12,160,13.3
Beaver Buzz Energy Drink,16,178,11.1
BEEBAD Energy Drink,8.46,80,9.5
Berocca,8,90,11.2
Berzerk Energy Drink Mix,16,200,12.5
Best Choice Strawberry Energy Drink Mix,8,120,15.0
Big Red Soda,12,34,2.8
Big Train Java Chip Ice Coffee,12,49,4.1
Big Train Spiced Chai,8,65,8.1
Bigelow Tea,8,45,5.6
Biggby Brewed Coffee,16,200,12.5
Biggby Creamy Lattes,16,100,6.2
Biggby Espresso,2,100,50.0
Biggby Iced Coffee,16,155,9.7
Biggby Iced Tea,16,38,2.4
Bing Energy Drink,12,120,10.0
Bizzy Cold Brew,2.67,125,46.8
Black Bruin Energy Drink,8.46,38,4.4
Black Ink Coffee,12,144,12.0
Black Insomnia Coffee,12,1105,92.1
Black Label Brewed Coffee,12,1555,129.6
Bloom Energy,12,180,15.0
Blu Frog Energy Drink,8.46,80,9.5
Blue Bolt (UK),8.46,80,9.5
Blue Charge (UK),8.46,80,9.5
Blue Spark (UK),8.46,75,8.9
Bodyarmour Edge,20,100,5.0
Bomb Energy Drink,8.46,80,9.5
Bomba (EU),8.4,80,9.5
Boost Energy (UK),8.46,80,9.5
Boost Nutritional Drink,8,5,0.6
Bottled Iced Coffee Dunkin Donuts,13.7,197,14.4
BPM Energy Drink,16.91,70,4.1
BreinFuel,12,360,30.0
Brew Dr Kombucha Uplift,14,130,9.3
Brisk Iced Tea,12,11,0.9
Brown Rice Tea,8,4,0.5
Bubbl'r Sparkling Water,12,69,5.8
Bubly Bounce Sparkling Water,12,35,2.9
Bubly Sparkling Water,12,0,0.0
Bucked Up,16,300,18.8
Bulletproof Coffee,8,145,18.1
Burn Energy Drink,12,112,9.3
C4 On The Go,12,200,16.7
C4 Performance Energy,16,200,12.5
C4 Smart Energy Drink,16,200,12.5
C4 Ultimate Energy Drink,16,300,18.8
Cafe Bustelo,12,150,12.5
Cafe Con Leche,6,154,25.7
Caffe Mocha,12,152,12.7
Caffe Nero Coffee,12,160,13.3
